ticker,cik,filing_date,accession,doc,tokens,substantive_per10k,boilerplate_per10k,tls_raw,tls_z,score_raw,score_z
NEE,753308,2025-02-14,0000753308-25-000011,nee-20241231.htm,86666,81.93524565573566,0.6346202663097408,81.30062538942592,0.7891437108192206,81.30062538942592,0.7891437108192206
NEE,753308,2024-02-16,0000753308-24-000008,nee-20231231.htm,85922,95.179348711622,0.6401154535508949,94.5392332580711,1.0992096323765121,94.5392332580711,1.0992096323765121
NEE,753308,2023-02-17,0000753308-23-000019,nee-20221231.htm,87058,98.12998231064333,0.6317627328907165,97.49821957775261,1.168513053792933,97.49821957775261,1.168513053792933
NEE,753308,2022-02-18,0000753308-22-000014,nee-20211231.htm,86494,88.91946262168457,0.6358822577288599,88.28358036395572,0.9526938658546863,88.28358036395572,0.9526938658546863
NEE,753308,2021-02-12,0000753308-21-000014,nee-20201231.htm,85917,77.6447036092972,0.6401527055181163,77.00455090377908,0.6885238943182901,77.00455090377908,0.6885238943182901
FSLR,1274494,2025-02-25,0001274494-25-000010,fslr-20241231.htm,72094,141.19066773934026,1.6644935778289456,139.5261741615113,2.152864021695326,139.5261741615113,2.152864021695326
FSLR,1274494,2024-02-27,0001274494-24-000004,fslr-20231231.htm,70299,145.84844734633484,1.7069944095933085,144.14145293674153,2.260960030043371,144.14145293674153,2.260960030043371
FSLR,1274494,2023-02-28,0001274494-23-000002,fslr-20221231.htm,69947,143.19413270047306,0.14296538807954595,143.05116731239352,2.2354240809293553,143.05116731239352,2.2354240809293553
FSLR,1274494,2022-03-01,0001274494-22-000009,fslr-20211231.htm,69657,140.31612041862257,0.14356058974690267,140.17255982887568,2.168003239475728,140.17255982887568,2.168003239475728
FSLR,1274494,2021-02-26,0001628280-21-003343,fslr-20201231.htm,83785,143.7966223070955,0.11935310616458793,143.6772692009309,2.250088225451522,143.6772692009309,2.250088225451522
ENPH,1463101,2025-02-10,0001463101-25-000024,enph-20241231.htm,72602,56.871711523098504,1.5151097765901766,55.35660174650833,0.18149994044983356,55.35660174650833,0.18149994044983356
ENPH,1463101,2024-02-09,0001463101-24-000024,enph-20231231.htm,75435,57.71856565254852,1.5244912838867901,56.19407436866173,0.20111467055918372,56.19407436866173,0.20111467055918372
ENPH,1463101,2023-02-13,0001463101-23-000025,enph-20221231.htm,78721,54.420040395828295,0.8892163463370639,53.53082404949123,0.13873778223792999,53.53082404949123,0.13873778223792999
ENPH,1463101,2022-02-11,0001463101-22-000016,enph-20211231.htm,82683,47.61559208059697,0.48377538308963147,47.13181669750734,-0.011135537625559406,47.13181669750734,-0.011135537625559406
ENPH,1463101,2021-02-16,0001463101-21-000016,enph-20201231.htm,77745,43.79702874782944,0.3858769052672198,43.41115184256222,-0.0982784901550875,43.41115184256222,-0.0982784901550875
PLUG,1093691,2025-04-30,0001104659-25-042552,plug-20241231x10ka.htm,25622,10.537819061743814,3.122316759035204,7.41550230270861,-0.94134479722973,7.41550230270861,-0.94134479722973
PLUG,1093691,2025-03-03,0001558370-25-002049,plug-20241231x10k.htm,107295,59.555431287571615,0.8388088913742485,58.716622396197366,0.2601961228229714,58.716622396197366,0.2601961228229714
PLUG,1093691,2024-02-29,0001558370-24-002178,plug-20231231x10k.htm,98508,58.80740650505538,0.4060583911966541,58.401348113858724,0.2528119770074455,58.401348113858724,0.2528119770074455
PLUG,1093691,2023-05-01,0001104659-23-054310,tm232164d4_10ka.htm,22489,18.853661790208545,4.001956512072569,14.851705278135977,-0.7671789671560183,14.851705278135977,-0.7671789671560183
PLUG,1093691,2023-03-01,0001558370-23-002599,plug-20221231x10k.htm,94974,50.698085791900894,0.42116789858277004,50.27691789331813,0.0625269433804446,50.27691789331813,0.0625269433804446
TSLA,1318605,2025-04-30,0001104659-25-042659,tm252787d2_10ka.htm,22488,30.683030949839917,0.8893632159373889,29.793667733902527,-0.41721820053382247,29.793667733902527,-0.41721820053382247
TSLA,1318605,2025-01-30,0001628280-25-003063,tsla-20241231.htm,60705,62.20245449304012,2.4709661477637757,59.73148834527635,0.2839656421622048,59.73148834527635,0.2839656421622048
TSLA,1318605,2024-01-29,0001628280-24-002390,tsla-20231231.htm,62783,66.51482089100554,2.070624213560996,64.44419667744455,0.39434358118291857,64.44419667744455,0.39434358118291857
TSLA,1318605,2023-01-31,0000950170-23-001409,tsla-20221231.htm,65456,69.81789293571256,1.9860669762894159,67.83182595942314,0.4736863946896874,67.83182595942314,0.4736863946896874
TSLA,1318605,2022-05-02,0001564590-22-016871,tsla-10ka_20211231.htm,23313,31.055634195513235,0.42894522369493415,30.6266889718183,-0.39770772780331,30.6266889718183,-0.39770772780331
RUN,1469367,2025-02-27,0001469367-25-000039,run-20241231.htm,76346,125.93980038246923,0.13098263170303617,125.8088177507662,1.8315851682819595,125.8088177507662,1.8315851682819595
RUN,1469367,2024-02-21,0001469367-24-000024,run-20231231.htm,76806,122.33419264119988,0.13019816160195818,122.20399447959792,1.7471553807456701,122.20399447959792,1.7471553807456701
RUN,1469367,2023-02-22,0001469367-23-000030,run-20221231.htm,72428,128.6933230242447,0.3451703760976418,128.34815264814705,1.891059791513591,128.34815264814705,1.891059791513591
RUN,1469367,2022-02-17,0001469367-22-000033,run-20211231.htm,75223,128.19217526554368,0.33234516038977435,127.8598301051539,1.879622623737893,127.8598301051539,1.879622623737893
RUN,1469367,2021-02-25,0001469367-21-000042,run-20201231.htm,74219,134.08965359274566,0.2021045823845646,133.88754901036108,2.0207998710569224,133.88754901036108,2.0207998710569224
