ticker,cik,filing_date,accession,doc,tokens,substantive_full15,boilerplate_full15,tls_full15
ZIVO,1101026,2019-02-12,0001078782-19-000119,f10k123118_10k.htm,31090,0.0,2.090704406561595,-2.090704406561595
CPTP,202947,2019-03-18,0001564590-19-008298,cptp-10k_20181231.htm,12320,0.0,0.0,0.0
STRC,1050446,2019-02-20,0001564590-19-003468,mstr-10k_20181231.htm,47747,0.0,0.5235931053259891,-0.5235931053259891
A,1090872,2019-12-19,0001090872-19-000022,a-10312019x10k.htm,71943,0.0,0.2084983945623618,-0.2084983945623618
AA,1675149,2019-02-26,0001564590-19-004171,aa-10k_20181231.htm,109633,0.957740826211086,1.459414592321655,-0.5016737661105689
AAL,6201,2019-02-25,0000006201-19-000009,a10k123118.htm,110936,0.1352130958390423,0.3605682555707795,-0.2253551597317372
AAOI,1158114,2019-02-26,0001558370-19-001078,aaoi-20181231x10k.htm,59685,0.0,0.5864119963139818,-0.5864119963139818
AAON,824142,2019-02-28,0000824142-19-000040,aaon2018annualreport.htm,26264,5.711239719768504,0.3807493146512336,5.330490405117271
AAP,1158449,2019-02-19,0001158449-19-000043,aap_10kx12292018secreport.htm,35996,2.5002778086454054,0.55561729081009,1.9446605178353151
AAPL,320193,2019-10-31,0000320193-19-000119,a10-k20199282019.htm,37961,0.0,0.3951423829719976,-0.3951423829719976
AAT,1500217,2019-02-15,0001500217-19-000010,a2018-10kq4.htm,75922,0.1317141276573325,0.1317141276573325,0.0
AB,825313,2019-02-13,0000825313-19-000006,ab-20181231x10k.htm,88400,0.0,1.1312217194570136,-1.1312217194570136
ABBV,1551152,2019-02-27,0001551152-19-000008,abbv-20181231x10k.htm,55314,0.7231442311168963,0.7231442311168963,0.0
ABCB,351569,2019-03-01,0000351569-19-000006,abcb12-31x201810xk.htm,85916,0.1745891335723264,2.2114623585828017,-2.0368732250104755
ABG,1144980,2019-02-28,0001144980-19-000053,abg201810-k.htm,57251,0.2620041571326265,0.4366735952210442,-0.1746694380884176
ABM,771497,2019-12-20,0001628280-19-015259,abm10312019-10k.htm,55484,0.2703482084925384,0.2703482084925384,0.0
ABR,1253986,2019-02-15,0001047469-19-000508,a2237674z10-k.htm,83982,0.3572194041580339,1.1907313471934462,-0.8335119430354123
ABT,1800,2019-02-22,0001047469-19-000624,a2237733z10-k.htm,56274,1.6437431140491168,1.1550627287912711,0.4886803852578455
ACA,1739445,2019-02-28,0001739445-19-000020,aca1231201810k-q4.htm,45214,14.320785597381342,0.5529260848409785,13.767859512540364
ACAD,1070494,2019-02-27,0001564590-19-004596,acad-10k_20181231.htm,62762,0.2389981198814569,1.1949905994072847,-0.9559924795258276
ACEL,1698991,2019-08-26,0001193125-19-229400,d787085d10ka.htm,10437,0.0,1.9162594615310913,-1.9162594615310913
ACGL,947484,2019-02-28,0000947484-19-000008,a201810-k.htm,127431,0.5493168852163132,0.6277907259615008,-0.0784738407451876
ACHC,1520697,2019-03-01,0001564590-19-005750,achc-10k_20181231.htm,73804,0.0,1.1516990949000054,-1.1516990949000054
ACI,1646972,2019-04-24,0001646972-19-000036,acify1810-k.htm,74171,1.5504712084237775,0.9437650833883864,0.6067061250353911
ACIW,935036,2019-03-01,0001193125-19-058622,d675313d10k.htm,56455,0.0,0.1771322292091046,-0.1771322292091046
ACLS,1113232,2019-03-11,0001558370-19-001791,acls-20181231x10k.htm,32544,0.0,1.0754670599803342,-1.0754670599803342
ACM,868857,2019-11-13,0001104659-19-063367,acm-20190930x10k94a79f.htm,77506,1.935334038655072,0.3870668077310144,1.5482672309240575
ACMR,1680062,2019-05-24,0001654954-19-006553,acm_10ka.htm,58217,0.0,0.8588556607176598,-0.8588556607176598
AD,821130,2019-02-22,0000821130-19-000014,usm1231201810-k.htm,34768,0.4314312011044638,0.8628624022089277,-0.4314312011044638
ADBE,796343,2019-01-25,0000796343-19-000019,adbe10kfy18.htm,62842,0.0,0.8752108462493238,-0.8752108462493238
ADC,917251,2019-02-21,0001558370-19-000849,adc-20181231x10k.htm,49174,0.0,0.2033594989221946,-0.2033594989221946
ADI,6281,2019-11-26,0000006281-19-000144,adi-20191102.htm,61874,2.1818534440960664,2.343472217732812,-0.1616187736367456
ADMA,1368514,2019-03-13,0001193805-19-000281,e618283_10k-adma.htm,69055,0.434436318876258,1.158496850336688,-0.72406053146043
ADNT,1670541,2019-11-22,0001670541-19-000057,adnt-20190930.htm,70895,0.2821073418435715,0.564214683687143,-0.2821073418435715
ADP,8670,2019-08-09,0000008670-19-000021,q4fy1910k.htm,50019,0.0,0.5997720866070892,-0.5997720866070892
ADSK,769397,2019-03-25,0000769397-19-000016,adsk-0131201910xk.htm,67050,0.2982848620432513,1.0439970171513795,-0.7457121551081283
ADT,1703056,2019-03-11,0001703056-19-000042,adtinc10-k12x31x2018.htm,84189,0.0,0.8908527242276306,-0.8908527242276306
ADUS,1468328,2019-03-18,0001564590-19-008098,adus-10k_20181231.htm,63965,0.0,1.2506839677948878,-1.2506839677948878
AEE,1002910,2019-02-26,0001002910-19-000094,aee201810-k.htm,104859,30.016498345397153,0.4291477126426916,29.58735063275446
AEIS,927003,2019-02-21,0000927003-19-000007,aeis10k2018.htm,48491,22.37528613557155,0.0,22.37528613557155
AEO,919012,2019-03-14,0001564590-19-007828,aeo-10k_20190202.htm,35849,0.418421713297442,1.255265139892326,-0.8368434265948841
AEP,4904,2019-02-21,0000004904-19-000009,aep10klegal20184q.htm,39795,60.3090840557859,0.6282196255811032,59.6808644302048
AES,874761,2019-02-27,0000874761-19-000012,a2018form10-k.htm,121266,42.3449276796464,0.1649266900862566,42.18000098956014
AFG,1042046,2019-02-26,0001042046-19-000014,afg-2018123110k.htm,94927,0.4213764260958421,0.3160323195718815,0.1053441065239605
