ticker,cik,filing_date,accession,doc,tokens,substantive_full15,boilerplate_full15,tls_full15
AES,874761,2020-02-28,0000874761-20-000012,a2019form10-k.htm,125011,51.11550183583845,0.3599683227875946,50.75553351305085
AFG,1042046,2020-02-25,0001042046-20-000013,afg-2019123110k.htm,102410,0.3905868567522703,0.2929401425642027,0.0976467141880675
AFL,4977,2020-02-21,0000004977-20-000044,afl12311910k.htm,104061,5.2132883597120925,0.8648773315651397,4.348411028146953
AGCO,880266,2020-02-28,0000880266-20-000006,a2019agco10-k.htm,64039,0.7026967941410702,0.8588516372835303,-0.15615484314246
AGIO,1439222,2020-02-19,0001439222-20-000014,agio-20191231.htm,96471,0.0,0.5182904707114054,-0.5182904707114054
AGM,845877,2020-02-25,0000845877-20-000029,agm-20191231.htm,91238,1.972862184616059,0.9316293649575834,1.0412328196584757
AGNC,1423689,2020-03-17,0001423689-20-000025,agnc10ka1231192.htm,2918,0.0,0.0,0.0
AGO,1273813,2020-02-28,0001273813-20-000006,ago-12312019x10k.htm,169702,6.953365310956854,1.620487678400962,5.332877632555892
AGX,100591,2020-04-14,0001104659-20-046386,tm2031096d1_10k.htm,53673,25.059154509716244,3.539954912153224,21.51919959756302
AGYS,78749,2020-07-29,0001564590-20-034355,agys-10ka_20200331.htm,16812,0.5948132286462051,0.0,0.5948132286462051
AHCO,1725255,2020-03-06,0001558370-20-002146,ahco-20191231x10k.htm,62168,0.0,1.367262900527603,-1.367262900527603
AHR,1632970,2020-03-19,0001632970-20-000016,gahr4-10xk2019xq4.htm,91748,3.106334742991673,1.4714217203644766,1.6349130226271962
AILIH,18654,2020-02-28,0001002910-20-000077,aee201910-k.htm,108590,29.44562114375173,0.6906713325352242,28.754949811216505
AIN,819793,2020-02-28,0000891092-20-002167,ain10k2019.htm,59949,0.0,0.5838295884835444,-0.5838295884835444
AIR,1750,2020-07-21,0001104659-20-085310,air-20200531x10k.htm,48896,0.2045157068062827,0.2045157068062827,0.0
AIT,109563,2020-08-14,0000109563-20-000083,ait-2020630x10k.htm,42730,0.0,0.0,0.0
AIV,922864,2020-02-24,0001564590-20-006053,aiv-10k_20191231.htm,61517,0.0,0.1625566916462116,-0.1625566916462116
AIZ,1267238,2020-02-19,0001267238-20-000004,aiz1231201910k.htm,108684,1.334143020131758,0.5980641124728571,0.736078907658901
AJG,354190,2020-02-07,0001193125-20-028191,d879025d10k.htm,83998,1.0119288554489394,0.4762018143289126,0.5357270411200267
AKAM,1086222,2020-02-28,0001086222-20-000045,akam10k123119.htm,53101,0.5649611118434681,0.0,0.5649611118434681
AKR,899629,2020-02-21,0001564590-20-005641,akr-10k_20191231.htm,71280,0.0,0.7014590347923682,-0.7014590347923682
AKRO,1744659,2020-03-16,0001558370-20-002798,akro-20191231x10k.htm,85392,0.0,0.5855349447255012,-0.5855349447255012
AL,1487712,2020-02-14,0001558370-20-000836,al-20191231x10k1d2204.htm,70816,0.0,1.1296882060551288,-1.1296882060551288
ALB,915913,2020-04-15,0000915913-20-000089,a1231201910-kadocument.htm,1278,0.0,0.0,0.0
ALE,66756,2020-02-13,0000066756-20-000016,ale12312019-10k.htm,68590,96.26038781163436,0.1457938474996355,96.11459396413473
ALEX,1545654,2020-02-27,0001545654-20-000007,a201910-kdoc.htm,66665,4.912622815570389,0.0,4.912622815570389
ALG,897077,2020-02-28,0000897077-20-000011,alg-20191231.htm,42136,0.0,0.7119802544142775,-0.7119802544142775
ALGN,1097149,2020-02-28,0001097149-20-000008,algn-20191231x10k.htm,58018,0.0,0.172360301975249,-0.172360301975249
ALGT,1362468,2020-02-27,0001362468-20-000011,algt201910kdoc.htm,39874,0.0,0.0,0.0
ALK,766421,2020-02-12,0000766421-20-000013,alk-20191231.htm,47378,0.2110684283844822,0.2110684283844822,0.0
ALKS,1520262,2020-02-13,0001564590-20-004489,alks-10k_20191231.htm,80899,0.1854163833916365,0.1854163833916365,0.0
ALL,899051,2020-02-21,0000899051-20-000013,allcorp-12311910xk.htm,140923,16.569332188500105,0.2838429496959332,16.28548923880417
ALLE,1579241,2020-02-18,0001579241-20-000013,alle10k12312019doc.htm,55281,0.2713409670592066,0.4522349450986777,-0.180893978039471
ALLY,40729,2020-02-25,0000040729-20-000005,ally2019123110-k.htm,132311,0.2645282705141674,1.5871696230850043,-1.322641352570837
ALNY,1178670,2020-02-13,0001178670-20-000004,alny-20191231.htm,97389,0.0,0.2567025023359928,-0.2567025023359928
ALRM,1459200,2020-02-26,0001459200-20-000005,alarmcom10-kdecember31.htm,90181,0.9979929253390404,0.4989964626695202,0.4989964626695202
ALSN,1411207,2020-02-27,0001564590-20-007355,alsn-10k_20191231.htm,54176,2.2150029533372715,0.1845835794447726,2.0304193738924985
ALV,1034670,2020-02-21,0001564590-20-005667,alv-10k_20191231.htm,65874,0.2277074414791875,0.3795124024653126,-0.151804960986125
ALX,3499,2020-02-18,0000003499-20-000005,alx10-k123119.htm,36930,1.4893040888166802,0.0,1.4893040888166802
AM,1623925,2020-02-12,0001558370-20-000723,amgp-20191231x10k3b249e.htm,75260,0.0,0.0,0.0
AMAT,6951,2020-12-11,0000006951-20-000048,amat-20201025.htm,53413,0.9361016980884804,1.1233220377061763,-0.187220339617696
AMBA,1280263,2020-03-27,0001564590-20-013513,amba-10k_20200131.htm,61916,1.6150914141740422,0.6460365656696169,0.9690548485044252
AMC,1411579,2020-02-28,0001411579-20-000027,amc-20191231x10k.htm,101022,0.148482508760468,0.1979766783472906,-0.0494941695868226
AMD,2488,2020-02-04,0000002488-20-000008,amdform10-kfy2019.htm,57749,0.7792342724549344,1.2121422015965644,-0.4329079291416302
AME,1037868,2020-02-20,0001193125-20-043133,d878806d10k.htm,45038,0.0,1.221190994271504,-1.221190994271504
AMG,1004434,2020-02-28,0001004434-20-000011,amg10-k12312019.htm,47485,0.0,0.737074865747078,-0.737074865747078
AMGN,318154,2020-02-13,0000318154-20-000019,amgn-12312019x10kq420191.htm,2216,0.0,4.512635379061372,-4.512635379061372
AMH,1562401,2020-02-28,0001562401-20-000037,amh12311910k.htm,73793,0.1355142086647785,0.8808423563210603,-0.7453281476562817
AMKR,1047127,2020-02-19,0001047127-20-000006,amkr12311910k.htm,48053,0.936465985474372,2.081035523276382,-1.1445695378020102
AMP,820027,2020-02-26,0000820027-20-000010,amp12312019.htm,130166,14.289445784613491,0.6914247960296851,13.598020988583809
AMPH,1297184,2020-03-16,0001297184-20-000007,amph-20191231x10k.htm,86631,0.0,1.0388890812757556,-1.0388890812757556
AMR,1704715,2020-04-13,0001704715-20-000016,contura1231201910-ka.htm,25269,0.0,1.187225454113736,-1.187225454113736
AMRC,1488139,2020-03-04,0001488139-20-000014,amrc1231201910-k.htm,66256,67.80517990823472,1.5092972711905337,66.29588263704419
AMRX,1723128,2020-03-02,0001564590-20-008179,amrx-10k_20191231.htm,92198,0.0,0.6507733356471941,-0.6507733356471941
AMSC,880807,2020-06-02,0001437749-20-012276,amsc20200331_10k.htm,47592,80.37065052950076,2.4163724995797615,77.954278029921
AMT,1053507,2020-02-25,0001053507-20-000028,amt1231201910k.htm,83400,0.5995203836930456,0.1199040767386091,0.4796163069544364
AMWD,794619,2020-06-29,0000794619-20-000047,amwd-2020430x10k.htm,39718,0.0,0.0,0.0
AMZN,1018724,2020-01-31,0001018724-20-000004,amzn-20191231x10k.htm,42608,0.2346977093503567,0.3520465640255351,-0.1173488546751783
AN,350698,2020-02-18,0000350698-20-000042,an10k2019.htm,55094,0.3630159363996079,0.9982938250989218,-0.6352778886993139
ANDE,821026,2020-02-27,0000821026-20-000011,ande2019123110-k.htm,51611,1.0656642963709286,0.0,1.0656642963709286
ANF,1018840,2020-03-31,0001018840-20-000021,a201910-k.htm,59553,0.0,0.4197941329571978,-0.4197941329571978
ANIP,1023024,2020-02-27,0001104659-20-025744,tm205343d1_10k.htm,66311,0.150804542232812,0.0,0.150804542232812
AON,315293,2020-02-14,0001628280-20-001607,aonplc201910-k.htm,72888,0.0,0.4115903852486006,-0.4115903852486006
AORT,784199,2020-02-19,0000784199-20-000019,cry-20191231x10k.htm,71738,0.0,0.6969806796955589,-0.6969806796955589
AOS,91142,2020-02-24,0001193125-20-046736,d846284d10k.htm,36259,1.6547615764361954,0.0,1.6547615764361954
APAM,1517302,2020-02-18,0001517302-20-000025,apam-20191231.htm,80508,0.0,0.4968450340338848,-0.4968450340338848
APD,2969,2020-11-19,0000002969-20-000049,apd-20200930.htm,67682,0.4432493129635649,1.0342483969149847,-0.5909990839514199
APH,820313,2020-02-12,0001558370-20-000728,aph-20191231x10k7e830b.htm,63355,0.2367611080419856,0.1578407386946571,0.0789203693473285
APLE,1418121,2020-02-24,0001185185-20-000213,aple20191231_10k.htm,62149,0.2413554522196656,1.2067772610983285,-0.9654218088786626
APLS,1492422,2020-02-27,0001564590-20-007350,apls-10k_20191231.htm,100837,0.0,0.5454347114650376,-0.5454347114650376
APOG,6845,2020-04-24,0000006845-20-000008,apog-202022910k.htm,34878,0.430070531567177,0.2867136877114513,0.1433568438557256
APPF,1433195,2020-03-02,0001433195-20-000019,appf12311910-k.htm,59954,0.0,0.3335890849651399,-0.3335890849651399
APPN,1441683,2020-02-20,0001441683-20-000020,appn-20191231.htm,69618,0.2872820247637105,0.6463845557183486,-0.3591025309546381
APTV,1521332,2020-02-03,0001521332-20-000012,aptv1231201910-k.htm,87385,0.8582708702866625,0.0,0.8582708702866625
AR,1433270,2020-02-12,0001558370-20-000726,ar-20191231x10kf7b183.htm,108234,2.7486741689302807,0.3695696361586932,2.3791045327715876
ARCB,894405,2020-02-28,0001558370-20-001796,arcb-20191231x10kb051b4.htm,92038,0.8692061974401878,0.5432538734001173,0.3259523240400704
ARDX,1437402,2020-03-06,0001558370-20-002138,ardx-20191231x10k.htm,71167,1.9320752596006576,0.2107718465018899,1.7213034130987677
ARE,1035443,2020-02-04,0001035443-20-000042,a4q1910-k.htm,117997,0.4237395865996593,0.3813656279396934,0.0423739586599659
ARES,1176948,2020-02-28,0001628280-20-002489,ares-20191231.htm,129002,0.930218136152928,2.364304429388692,-1.434086293235764
ARI,1467760,2020-02-13,0001467760-20-000004,ari-20191231x10k.htm,62964,0.0,1.6676195921478942,-1.6676195921478942
